--- C++ Bankai Mode Lexical Analysis Started ---
Line 1: COMMENT # Line 1: Main program declaration #
Line 3: KEYWORD_VOID void_bankai
Line 3: KEYWORD_MAIN main_bankai
Line 3: PUNC_LPAREN (
Line 3: PUNC_RPAREN )
Line 3: PUNC_LBRACE {b
Line 5: COMMENT # Line 2: Variable declarations #
Line 7: KEYWORD_INT int_bankai
Line 7: IDENTIFIER soul_pressure
Line 7: OP_ASSIGN =
Line 7: NUMBER_INTEGER 5000
Line 7: PUNC_SEMICOLON ;
Line 9: KEYWORD_FLOAT float_bankai
Line 9: IDENTIFIER spirit_energy
Line 9: OP_ASSIGN =
Line 9: OP_ADD add+
Line 9: NUMBER_FLOAT 1.0
Line 9: PUNC_SEMICOLON ;
Line 11: KEYWORD_STRING string_bankai
Line 11: IDENTIFIER zanpakuto
Line 11: OP_ASSIGN =
Line 11: STRING_LITERAL "Zangetsu"
Line 11: PUNC_SEMICOLON ;
Line 13: KEYWORD_CHAR char_bankai
Line 13: IDENTIFIER rank
Line 13: OP_ASSIGN =
Line 13: CHAR_LITERAL 'A'
Line 13: PUNC_SEMICOLON ;
Line 17: COMMENT # Line 6: Conditional structure (if/else) #
Line 19: KEYWORD_IF if_bankai
Line 19: PUNC_LPAREN (
Line 19: IDENTIFIER soul_pressure
Line 19: OP_RELATIONAL_EQ ==
Line 19: NUMBER_INTEGER 5000
Line 19: PUNC_RPAREN )
Line 19: PUNC_LBRACE {b
Line 21: KEYWORD_DISPLAY display_bankai
Line 21: OP_SHIFT_LEFT <<
Line 21: IDENTIFIER zanpakuto
Line 21: PUNC_COMMA ,
Line 21: IDENTIFIER rank
Line 21: PUNC_SEMICOLON ;
Line 21: COMMENT # display using custom comma #
Line 23: PUNC_RBRACE }
Line 23: KEYWORD_ELSE else_bankai
Line 23: PUNC_LBRACE {b
Line 25: KEYWORD_DISPLAY display_bankai
Line 25: OP_SHIFT_LEFT <<
Line 25: STRING_LITERAL "Not ready"
Line 25: PUNC_SEMICOLON ;
Line 27: PUNC_RBRACE }
Line 31: COMMENT # Line 12: Loop structure (for loop) #
Line 33: KEYWORD_FOR for_bankai
Line 33: PUNC_LPAREN (
Line 33: KEYWORD_INT int_bankai
Line 33: IDENTIFIER i
Line 33: OP_ASSIGN =
Line 33: NUMBER_INTEGER 1
Line 33: PUNC_SEMICOLON ;
Line 33: IDENTIFIER i
Line 33: OP_RELATIONAL_LT <
Line 33: NUMBER_INTEGER 5
Line 33: PUNC_SEMICOLON ;
Line 33: IDENTIFIER i
Line 33: OP_ADD add+
Line 33: NUMBER_INTEGER 1
Line 33: PUNC_RPAREN )
Line 33: PUNC_LBRACE {b
Line 35: KEYWORD_IF if_bankai
Line 35: PUNC_LPAREN (
Line 35: IDENTIFIER i
Line 35: OP_REM rem%
Line 35: NUMBER_INTEGER 2
Line 35: OP_RELATIONAL_EQ ==
Line 35: NUMBER_INTEGER 0
Line 35: PUNC_RPAREN )
Line 35: PUNC_LBRACE {b
Line 37: KEYWORD_CONTINUE continue_bankai
Line 37: PUNC_SEMICOLON ;
Line 39: PUNC_RBRACE }
Line 41: KEYWORD_DISPLAY display_bankai
Line 41: OP_SHIFT_LEFT <<
Line 41: IDENTIFIER i
Line 41: PUNC_SEMICOLON ;
Line 43: PUNC_RBRACE }
Line 47: COMMENT # Line 18: Loop with break and custom operator #
Line 49: KEYWORD_WHILE while_bankai
Line 49: PUNC_LPAREN (
Line 49: IDENTIFIER spirit_energy
Line 49: OP_RELATIONAL_LT <
Line 49: NUMBER_FLOAT 10.0
Line 49: PUNC_RPAREN )
Line 49: PUNC_LBRACE {b
Line 51: IDENTIFIER spirit_energy
Line 51: OP_MUL mul*
Line 51: NUMBER_FLOAT 2.0
Line 51: PUNC_SEMICOLON ;
Line 53: KEYWORD_IF if_bankai
Line 53: PUNC_LPAREN (
Line 53: IDENTIFIER spirit_energy
Line 53: OP_RELATIONAL_GT >
Line 53: NUMBER_FLOAT 8.0
Line 53: PUNC_RPAREN )
Line 53: PUNC_LBRACE {b
Line 55: KEYWORD_BREAK break_bankai
Line 55: PUNC_SEMICOLON ;
Line 57: PUNC_RBRACE }
Line 59: PUNC_RBRACE }
Line 63: COMMENT # Line 24: Function call and return #
Line 65: KEYWORD_CIN cin_bankai
Line 65: OP_SHIFT_RIGHT >>
Line 65: IDENTIFIER rank
Line 65: PUNC_SEMICOLON ;
Line 67: KEYWORD_RETURN return_bankai
Line 67: NUMBER_INTEGER 0
Line 67: PUNC_SEMICOLON ;
Line 71: COMMENT # Line 27: INTENTIONAL ERROR (Demonstrate error handling) #
Line 73: KEYWORD_INT int_bankai
Line 73: IDENTIFIER invalid
Line 73: ERROR Unrecognized Symbol @
Line 73: IDENTIFIER var
Line 73: OP_ASSIGN =
Line 73: NUMBER_INTEGER 1
Line 73: PUNC_SEMICOLON ;
Line 75: PUNC_RBRACE }
--- C++ Bankai Mode Lexical Analysis Finished ---
